Country,Literacy_Rate,Pop_15_29,HDI,WEF_Tech_Readiness_Index,WEF_Inno_Cap,ICT_Goods_X,ICT_Service_X,ICT_Goods_Imp,Access_DigContent,Intl_Int_Bandwidth,SN_Use,MobilePen,Fixed_BB_Subscribers,Internet_Pen,Econ_CyberPower,GDP_Cap,NtlReplies,Reso_Sponsor,FOC,G20,UNGGE,SecureServers,WEF_Uni_Indus,WGIVoiceAccountability,WGIPoliStab,WCITVote,PoliWeb,E-participation,CivicusEnabEnviro,InternetUsers,Population,USAID_NGO,FreedomHouse,DI_RegimeType,DIScore,BMStatus,EPgovern,InterestGroups,CSOtraditions,CSOIndex,EffectiveSupport,GovPartner,geo_longitude,geo_latitude
Cuba,98.8807,21.1,0.78,0,0,0,0,0,0,0,0,14.94893089,0.044562907,25.6,0,0,9,1,0,0,0,0,0,-1.43,0.32,1,0,0.0526,0,25.64170387,11270957,0,NF,Authoritarian Regime,3.52,4.05,1,2,7,3,5,4,-80.8328748,23.0131338
Cyprus,0,24.7,0.848,4.59,3.3,5.636326288,25.08127218,4.594470047,5.5,53.6,5.7,98.38544554,19.22409991,61,0,26070.36743,0,1,0,0,0,1121.3,3.8,1,0.63,0,0,0.0789,0.71,61,1128994,0,F,Flawed Democracy,7.29,0,0,0,0,0,0,0,33.13832257,35.1758113
Dominica,0,25.2,0.745,0,0,0,14.50779789,0,0,0,0,161.5310722,12.56188576,55.2,0,6691.714872,0,0,0,0,0,0,0,0.96,1.06,0,0,0.0263,0,55.17701416,71684,0,F,0,0,0,0,0,0,0,0,0,-61.3653618,15.4113138
Dominican Republic,0,26.7,0.702,3.62,3.2,2.071477819,4.345531979,3.460357698,4.9,11.8,5.6,88.75353163,4.424717669,45,0,5745.779878,0,0,0,0,0,20.3,3.3,0.05,0.23,1,0,0.4737,0.51,45,10276621,0,F,Flawed Democracy,6.49,6.66,9,6,5,5,9,9,-70.3012705,19.094175
Ecuador,0,27.1,0.724,3.58,3.7,0.116154351,0,6.30959041,4.2,27.7,4.8,110.7080686,5.423940162,35.1,0,5424.633611,0,0,0,0,0,19.7,3.9,-0.33,-0.6,0,5,0.2368,0.48,35.13450622,15492264,0,PF,Hybrid Regime,5.78,5.39,7,4,6,5,7,4,-79.3666965,-1.3397668
Egypt,91.5869,27.1,0.662,3.78,3.1,0.156807359,7.27897532,3.458242729,4.4,3.8,5.9,115.2938083,2.724265642,44.1,0,3256.018469,0,0,0,0,1,3,2.6,-0.74,-1.48,1,0,0.6842,0.4,44.07,80721874,0,PF,Hybrid Regime,4.56,4.76,2,5,5,4,5,6,29.2675469,26.2540493
El Salvador,0,29,0.68,3.53,3.7,0,11.47214199,0,5.1,6,5.6,138.0718692,3.864862936,25.5,0,3789.567558,1,1,0,0,0,16.9,3.2,-0.08,0.21,1,0,0.5526,0.56,25.5,6297394,0,F,Flawed Democracy,6.47,7.23,9,7,4,7,9,10,-88.9140683,13.8000382
Fiji,0,25.7,0.702,0,0,0,0,0,0,0,0,98.057482,1.543235954,33.7,0,4467.103791,0,1,0,0,0,0,0,-0.87,-0.04,0,0,0.0789,0,0,874742,0,PF,Authoritarian Regime,3.67,0,0,0,0,0,0,0,179.0122737,-18.1239696
Gabon,0,28.4,0.683,2.97,2.5,0,0,0,2.5,6.3,4.7,187.3553671,0.319719056,8.6,0,11256.52276,0,0,0,0,0,8.5,2.3,-0.85,0.31,1,0,0.1053,0.4,8.616714489,1632572,5.4,NF,Authoritarian Regime,3.56,0,0,0,0,0,0,0,11.6899699,-0.8999695
Georgia,51.10727,22.5,0.745,3.93,3,0,4.614466265,0,5,26.7,5.6,109.1585909,9.108897182,45.5,0,3490.245316,3,0,1,0,0,18.7,2.7,-0.02,-0.67,0,0,0.2105,0.5,45.50309801,4511800,4.2,PF,Hybrid Regime,5.53,5.88,9,4,7,5,7,7,44.0287382,41.6809707
Ghana,0,26.9,0.558,3.51,3.7,0.048701944,0,5.299471318,4.2,0.2,5.1,100.2837555,0.252235786,17.1,0,1604.905782,0,0,1,0,0,2.2,3.4,0.41,0.1,1,5,0.1053,0.56,17.10767832,25366462,4.3,F,Flawed Democracy,6.02,7.39,9,8,5,7,9,9,-1.0800271,8.0300284
Grenada,0,26.4,0.77,0,0,0,15.86743327,0,0,0,0,121.5539918,13.70996078,42.1,0,7266.675457,0,0,0,0,0,0,0,0.78,0.45,0,0,0.2105,0,42.09025566,105483,0,F,0,0,0,0,0,0,0,0,0,-61.6904045,12.1360374
Guatemala,0,30.8,0.581,3.42,3.7,0.323696942,17.4573341,5.991881826,4.9,6.9,5.3,137.3211247,0,16,0,3330.52523,1,1,0,0,0,13.8,3.8,0.84,-0.65,1,0,0.2368,0.54,16,15082831,0,PF,Hybrid Regime,5.88,5.36,5,5,6,6,7,8,-89.8988087,15.6356088
Guyana,55.27518,27.9,0.636,3.45,4,0.278467901,41.41430875,3.624847272,4.9,4.5,5.7,72.20570125,3.854159655,34.3,0,3583.96217,1,0,0,0,0,9.3,3.7,-0.01,-0.48,1,0,0,0,34.30804622,795369,0,F,Flawed Democracy,6.05,0,0,0,0,0,0,0,-58.6416891,4.8417097
Honduras,0,30.1,0.632,3.32,3.1,0,11.49168111,0,4.3,4.9,5.2,93.14969909,0.774478667,18.1,0,2322.88056,0,0,0,0,0,7.7,4.9,-0.51,-0.4,0,0,0.1316,0.45,18.11987014,7935846,0,PF,Hybrid Regime,5.84,5.97,6,6,5,6,8,6,-84.5978534,15.0610686
Hong Kong,85.12331,18.6,0.906,5.4,4.2,42.47999733,0,40.4118163,6.2,1046.3,6.2,227.9328836,31.55361324,72.8,0,36795.81988,0,0,0,0,0,570.5,3.3,0.62,0.98,0,0,0,0,72.8,7154600,0,F,Flawed Democracy,7.52,0,0,0,0,0,0,0,114.1628131,22.2793278
India,0,26.5,0.554,3.88,4,2.182670486,65.89388319,5.973562352,4.6,6.3,5.1,68.71850699,1.136884727,12.6,28.3,1489.229008,0,1,0,1,1,2.9,4,0.35,-1.25,0,5,0.1842,0.5,12.58006091,1236686732,0,F,Flawed Democracy,6.76,7.37,10,7,4,8,7,9,78.6677428,22.3511148
Indonesia,0,25.1,0.629,3.84,4.4,3.855039357,38.23105459,7.405550286,4.9,7.2,5.7,115.1957716,1.218699533,15.4,23.5,3556.785714,0,1,0,1,1,3.4,4.5,0.03,-0.57,1,5,0.2105,0.52,15.36,246864191,0,F,Flawed Democracy,1.98,6.53,7,7,6,6,7,9,114.5632032,-4.7993356
Iran,92.8119,31.1,0.742,3.43,3.4,0,0,0,4,3.5,3.1,76.91595827,4.068351873,26,0,0,0,0,0,0,0,1,3.3,-1.57,-1.32,1,0,0.1842,0.31,25.99763603,76424443,0,NF,Hybrid Regime,4.1,3.64,2,3,7,2,1,1,52.9471344,32.9407496
Iraq,0,28.6,0.59,0,0,0,11.96611366,0,0,0,0,79.38743144,0,7.1,0,6454.619628,0,0,0,0,0,0,0,-1.13,-1.93,1,0,0.1053,0.4,7.1,32578209,0,F,Flawed Democracy,7.39,4.22,4,3,8,3,7,6,44.1749775,33.0955793
Jamaica,98.97965,30.9,0.73,3.74,3.6,0,9.446322256,0,5.2,29.5,5.7,96.53844468,4.333055327,46.5,0,5440.452465,0,0,0,0,0,48.4,3.6,0.43,0.1,1,5,0,0,46.5,2712100,0,NF,Authoritarian Regime,3.76,7.27,9,6,2,6,8,8,-77.3947693,18.1850507
Jordan,0,28.3,0.7,4.2,3.5,1.471553562,0,4.091323578,5.4,6.3,5.9,139.1341219,2.998113751,41,0,4909.028094,3,0,0,0,0,25.2,3.4,-0.73,-0.52,1,3,0.1053,0.41,41,6318000,0,NF,Authoritarian Regime,2.95,5.03,2,4,6,3,6,6,36.941628,31.1667049
Kazakhstan,95.90445,26.2,0.754,4.32,3.5,0.142425714,10.58897363,5.742580134,5.1,21.9,4.8,175.3914846,9.71901065,53.3,0,12116.15461,2,1,0,0,0,6.3,3.4,-1.15,-0.37,1,5,0.9474,0.43,53.31566912,16797459,4.1,PF,Hybrid Regime,4.71,5.13,2,4,7,3,6,7,65.2093197,47.2286086
Kenya,0,27.6,0.519,3.54,4.1,0,0,0,4.7,4.5,5.2,71.88812255,0.100382653,32.1,0,942.5408848,0,0,1,0,0,3.2,4.3,-0.3,-1.29,0,5,0.0526,0.43,32.09541711,43178141,3.9,PF,Authoritarian Regime,3.78,5.57,6,6,4,5,6,4,38.4313975,1.4419683
Kosovo,0,28.1,0,0,0,0,20.74139065,0,0,0,0,0,0,0,0,3568.048768,0,0,0,0,0,0,0,-0.22,-1.15,0,0,0,0.52,0,1806366,3.9,0,0,0,6.28,8,6,4,6,7,6,20.55144,44.1534121
Kuwait,0,27.5,0.79,3.94,2.6,0,34.46366905,0,5.3,6,5.7,191.1083767,1.625424123,79.2,0,0,0,0,0,0,0,179.2,3,-0.62,0.18,1,0,0.1842,0,79.17820132,3250496,0,PF,Hybrid Regime,4.69,6.05,2,6,8,4,5,6,47.4979476,29.2733964
Kyrgyzstan,0,29,0.622,3.09,2.6,0.238271609,15.90422153,3.82216916,5.2,1.7,4.9,124.7750723,2.623141893,21.7,0,1159.92974,0,1,0,0,0,2.5,2.2,-0.64,-0.89,1,0,0.2895,0.43,21.72350899,5582100,4,F,Flawed Democracy,7.05,5.32,4,5,6,7,7,6,74.724091,41.5089324
Latvia,0,20.2,0.814,4.43,3.5,5.388582606,20.4547399,5.441726461,5.6,44.8,5.5,103.375501,21.52985001,74,0,14007.87752,0,0,1,0,0,205.9,3.6,0.74,0.43,0,0,0.2105,0.65,74,2025473,2.7,PF,Hybrid Regime,5.05,8.31,10,6,4,6,9,10,24.5999717,56.8666904
Lebanon,59.20384634,26.4,0.745,3.53,3.4,0.949849535,56.75932581,2.339595133,4.2,2.3,5.6,93.20274696,11.65034337,61.2,0,9705.392234,5,0,0,0,0,41.1,3.1,-0.42,-1.65,1,0,0.3158,0,61.24978572,4424888,0,PF,Hybrid Regime,5.15,6.24,4,7,3,6,6,8,35.843409,33.8750629
Libya,0,28.7,0.769,2.77,2.5,0,0,0,3.5,11,4.7,148.1877185,1.040266345,19.9,0,0,0,0,0,0,0,1.4,2,-0.94,-1.56,1,0,0,0,19.8637,6154623,0,F,0,0,4.48,1,3,9,2,3,4,18.1236723,26.8234472
Liechtenstein,89.5361,17.8,0.883,0,0,0,0,0,0,0,0,103.8705445,80.36300022,89.4,0,0,0,0,0,0,0,0,0,1.48,1.41,0,0,0.2368,0,89.4077,36656,0,F,Flawed Democracy,7.24,0,0,0,0,0,0,0,9.546792471,47.1595036
Lithuania,0,21,0.818,4.72,4,2.401659967,9.015514593,3.696687524,6.1,57.6,6,151.7793415,19.52689392,68,0,14183.01602,1,0,0,0,0,242,4.6,0.91,0.75,0,0,0.5263,0.65,68,2985509,2.7,PF,Flawed Democracy,6.16,9.03,10,8,4,9,9,10,23.7499998,55.3500003
Macedonia,95.64004,22,0.74,3.89,3.2,0.337782354,23.98631101,3.686389522,5.1,17.9,5.8,108.1612263,14.62450134,63.1,0,4565.269884,0,0,0,0,0,28.6,3.4,0,-0.44,0,0,0.1316,0.55,63.1477,2105575,3.7,PF,0,0,7.35,9,6,5,6,9,8,41.6137143,21.743258
Malaysia,0,25.2,0.769,4.82,4.9,29.43901467,27.85588279,25.62321138,5.6,10.7,6,140.9350818,8.389321828,65.8,0,10432.06247,0,0,0,0,0,54.4,5,-0.34,0,1,7,0.5,0.5,65.8,29239927,0,PF,0,0,6.13,2,4,6,5,7,9,102.2656823,4.5693754
Maldives,0,37.1,0.688,0,0,0,0,5.845608781,0,0,0,172.84136,5.506408932,38.9,0,6566.647551,0,0,1,0,0,0,0,-0.52,-0.28,0,0,0.0263,0,38.9301,338442,0,F,Full Democracy,8.28,0,0,0,0,0,0,0,73.4867968,4.2218417
Malta,33.44121,19.8,0.847,4.9,3.8,22.89231065,12.50658893,12.99932311,6.2,47.8,6.4,128.682385,31.68349188,70,0,20847.59057,0,0,0,0,0,1661.1,3.8,1.15,1.04,0,0,0.2632,0.7,70,418366,0,F,0,0,0,0,0,0,0,0,0,14.504285,35.8953019
Marshall Islands,0,27.4,0,0,0,0,0,0,0,0,0,0,0,10,0,3470.649795,0,0,0,0,0,0,0,1.19,1.06,0,0,0,0,10,52555,0,F,Full Democracy,8.17,0,0,0,0,0,0,0,168,9
Mauritius,58.61391,22.7,0.737,4.12,3.5,0.548654764,35.38188685,4.347963828,4.8,12.7,5.4,113.0915366,10.57236131,41.4,0,8119.546956,0,0,0,0,0,116.6,3.3,0.86,0.97,1,5,0.0789,0,41.3946,1291456,0,F,0,0,8.11,10,8,3,8,9,9,57.5703566,-20.2759451
Micronesia,93.51998,28.8,0.645,0,0,0,0,0,0,0,0,24.62131349,0,26,0,3154.513862,0,0,0,0,0,0,0,1.05,1.16,0,0,0.0263,0,25.974423,103395,0,F,Flawed Democracy,6.32,0,0,0,0,0,0,0,150.1982846,5.5600565
Moldova,82.84088308,24.1,0.66,3.84,2.7,0.561561983,25.31027124,3.45044747,5.1,91.1,5.3,115.937329,11.85409117,43.4,0,2037.557633,0,0,0,0,0,19.7,2.7,-0.09,0.02,0,0,0.3947,0.52,43.37,3559541,4.1,PF,0,0,6.24,7,6,7,8,7,6,28.4165225,46.9161023
Monaco,98.97083,13.5,0,0,0,0,0,0,0,0,0,93.65477937,45.52251439,87,0,0,0,0,0,0,0,0,0,0.07,1.05,0,0,0.1842,0,87,37579,0,F,Flawed Democracy,6.35,0,0,0,0,0,0,0,7.4197441,43.7312454
Mongolia,0,29.7,0.675,4.01,3.1,0,20.69216366,0,5.3,53.6,5.3,117.6225928,3.634439337,16.4,0,3672.96694,0,0,1,0,0,13.6,3,0.02,0.45,0,0,0.6053,0,16.4,2796484,0,F,Flawed Democracy,6.05,6.09,7,6,7,6,8,8,103.8499736,46.8250388
Montenegro,97.35589,19.5,0.791,4.2,3.6,0.237505731,7.883874378,3.289655989,5.3,84.6,5.9,177.9404421,8.280709739,56.8,0,7041.224593,0,0,0,0,0,25.3,4,0.23,0.56,0,0,0.3158,0.55,56.83878255,621081,4,F,Hybrid Regime,4.07,7.28,9,6,5,6,9,8,19.291739,43.0285558
Morocco,98.45932,27.2,0.591,3.64,2.8,0,21.7959865,0,4.5,7.6,5.8,119.6873872,2.09079328,55,0,2902.329958,0,0,0,0,0,4.3,3,-0.61,-0.46,1,5,0.3947,0.41,55,32521143,0,PF,Flawed Democracy,6.24,4.5,2,4,5,5,7,6,-7.3205368,31.2005672
Namibia,92.67915,33.2,0.608,3.29,3.4,0.626738158,0,3.622383708,4.3,2.3,4.9,103.0032147,2.779482438,12.9,0,5785.748182,0,0,0,0,0,19.8,3.5,0.39,0.94,1,5,0.0263,0.53,12.9414,2259393,0,F,0,0,6.99,9,6,4,5,7,8,17.3231107,-23.2335499
Nauru,0,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.06,0,0,0,0,0,0,0,F,Hybrid Regime,5.56,0,0,0,0,0,0,0,166.9333009,-0.5249624
Nicaragua,0,31.5,0.599,2.93,3.4,0.142928498,18.6540732,4.400943842,4,12.9,4.4,89.77483745,1.65913841,1.4,0,1753.642367,0,1,0,0,0,10.1,3.3,-0.53,-0.37,0,0,0.1316,0.44,13.5,5991733,0,PF,Authoritarian Regime,3.77,5.59,8,6,5,4,5,6,-84.8700308,12.3724928
Nigeria,0,27,0.47,3.27,3.4,0.016838207,4.392706462,3.910269287,4.6,0.4,5.3,67.68181156,0.008569317,32.9,0,1555.360614,0,0,0,0,0,1.7,3.3,-0.73,-2.05,1,3,0.1842,0.38,32.8763,168833776,4.6,PF,Authoritarian Regime,1.08,4.63,2,4,5,5,7,7,7.9999721,9.6000359
North Korea,0,23.8,0,0,0,0,0,0,0,0,0,6.923608005,0,0,0,0,0,0,0,0,0,0,0,-2.17,-0.1,0,0,0,0,0,24763188,0,NF,Authoritarian Regime,3.26,2,1,1,10,1,1,1,127.399971,40.3123959
Oman,0,31.1,0.731,4.48,3.6,0.142685197,24.07239819,2.909508631,5.3,6.3,5.3,181.7329118,2.452241483,60,0,0,1,0,0,0,0,53.4,4,-0.96,0.47,1,0,0.4474,0,60,3314001,0,NF,Hybrid Regime,4.57,5.41,1,3,8,3,5,7,57.0036901,21.0000287
Pakistan,0,30.6,0.515,3.35,3.7,0.236822273,20.06263816,3.555264101,4.4,8.2,4.8,66.76881125,0.515096487,10,0,1256.65956,0,0,0,0,0,1.1,3.2,-0.87,-2.68,0,7,0.1316,0,9.9637,179160111,0,PF,0,0,3.81,2,3,7,3,4,3,71.247499,30.3308401
Palau,0,25.1,0.791,0,0,0,0,0,0,0,0,82.62356682,2.953078331,0,0,11005.86563,0,0,0,0,0,0,0,1.2,1.06,0,0,0.0263,0,0,20754,0,F,Flawed Democracy,7.08,0,0,0,0,0,0,0,133.3136306,6.0973669
Panama,0,25.4,0.78,4.22,3.7,7.873173662,8.07822938,8.084199741,5,44.1,6.1,186.7344222,8.213372116,45.2,0,9534.408425,2,0,0,0,0,143.1,4.2,0.45,-0.15,1,0,0.3158,0.57,45.1999,3802281,0,F,Flawed Democracy,6.32,7.39,9,7,5,4,4,8,-81.3066246,8.3096067
Papua New Guinea,0,27.4,0.466,0,0,0,0,0,0,0,0,37.7818366,0.128310409,2.3,0,2184.163461,0,0,0,0,0,0,0,-0.04,-0.64,1,0,0,0,2.301956866,7167010,0,PF,Flawed Democracy,6.26,5.66,5,5,6,5,6,5,144.2489081,-5.6816069
Paraguay,62.42167,29.5,0.669,3.37,3,0.102702252,1.939056086,21.65974334,4.3,9.5,4.9,101.6573537,1.110289284,27.1,0,3813.471488,0,0,0,0,0,9.7,2.8,-0.15,-0.84,1,0,0.1579,0,27.0758,6687361,0,PF,Flawed Democracy,6.47,6.39,7,6,6,8,8,8,-58.1693445,-23.3165935
Peru,0,27.6,0.741,3.39,3.1,0.053732404,15.0593479,7.389967533,4.4,9.3,5.1,98.83717634,4.78338999,38.2,0,6795.772498,0,0,0,0,0,0,3.1,0.07,-0.86,0,5,0.3947,0.57,38.2,29987800,0,F,Flawed Democracy,6.3,6.94,7,5,6,5,8,8,-75.0458515,-6.8699697
Philippines,0,27.6,0.654,3.73,3.8,22.74042607,67.27956989,13.16044875,4.9,12.4,6,106.7673268,2.225114016,36.2,0,2587.016762,2,0,0,0,0,7.5,3.6,-0.04,-1.16,0,3,0.2105,0,36.2351,96706764,0,PF,Authoritarian Regime,3.18,6.18,6,6,4,5,5,7,122.7312101,12.7503486
Qatar,90.34799,29.3,0.834,5.1,4.8,0,0,0,6,22.3,6.3,134.106751,8.201143621,88.1,0,0,5,0,0,0,0,126.2,5.5,-0.79,1.21,1,0,0.6316,0,88.10436688,2050514,0,NF,Flawed Democracy,6.54,6.1,1,4,8,4,9,8,51.2295295,25.3336984
