Country,id,WCIT_Record,swingstate,freeness,coalition,master,Note
Australia,AUS,0,0,0,1,5,Not a Swing State
Austria,AUT,0,0,0,1,5,Not a Swing State
Belgium,BEL,0,0,0,1,5,Not a Swing State
Bulgaria,BGR,0,0,0,1,5,Not a Swing State
Canada,CAN,0,0,0,1,5,Not a Swing State
Chile,CHL,0,0,0,1,5,Not a Swing State
Croatia,HRV,0,0,0,1,5,Not a Swing State
Cyprus,CYP,0,0,0,1,5,Not a Swing State
Czech Republic,CZE,0,0,0,1,5,Not a Swing State
Denmark,DNK,0,0,0,1,5,Not a Swing State
Estonia,EST,0,0,0,1,5,Not a Swing State
Finland,FIN,0,0,0,1,5,Not a Swing State
France,FRA,0,0,0,1,5,Not a Swing State
Germany,DEU,0,0,0,1,5,Not a Swing State
Greece,GRC,0,0,0,1,5,Not a Swing State
Hungary,HUN,0,0,0,1,5,Not a Swing State
Iceland,ISL,no vote,0,0,1,5,Not a Swing State
Ireland,IRL,0,0,0,1,5,Not a Swing State
Israel,ISR,0,0,0,1,5,Not a Swing State
Italy,ITA,0,0,0,1,5,Not a Swing State
Japan,JPN,0,0,0,1,5,Not a Swing State
Latvia,LVA,0,0,0,1,5,Not a Swing State
Lithuania,LTU,0,0,0,1,5,Not a Swing State
Luxembourg,LUX,0,0,0,1,5,Not a Swing State
Malta,MLT,0,0,0,1,5,Not a Swing State
Netherlands,NLD,0,0,0,1,5,Not a Swing State
New Zealand,NZL,0,0,0,1,5,Not a Swing State
Norway,NOR,0,0,0,1,5,Not a Swing State
Poland,POL,0,0,0,1,5,Not a Swing State
Portugal,PRT,0,0,0,1,5,Not a Swing State
Romania,ROM,0,0,0,1,5,Not a Swing State
Slovakia,SVK,0,0,0,1,5,Not a Swing State
Slovenia,SVN,0,0,0,1,5,Not a Swing State
Spain,ESP,0,0,0,1,5,Not a Swing State
Sweden,SWE,0,0,0,1,5,Not a Swing State
Switzerland,CHE,0,0,0,1,5,Not a Swing State
United Kingdom,GBR,0,0,0,1,5,Not a Swing State
United States,USA,0,0,0,1,5,Not a Swing State
Colombia,COL,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
India,IND,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Moldova,MDA,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Albania,ALB,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Armenia,ARM,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Belarus,BLR,0,1,1,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Georgia,GEO,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Mongolia,MNG,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Peru,PER,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Philippines,PHL,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Serbia,SRB,0,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Costa Rica,CRI,1,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Kenya,KEN,1,1,0,0,4,"Swing state based on non-OECD, FOC, EU membership status & Against the ITRs"
Uruguay,URY,1,1,0,0,3,Swing state based on indicators. Top 15 in 9/12 indicators.
Argentina,ARG,1,1,0,0,3,Swing state based on indicators. Top 15 in 10/12 indicators
Botswana,BWA,1,1,0,0,3,Swing state based on indicators. Top 15 in 8/12 indicators.
Brazil,BRA,1,1,0,0,3,Swing state based on indicators. Top 15 in Ê11/12 indicators.
Dominican Republic,DOM,1,1,0,0,3,Swing state based on indicators. Top 15 in 6/12 indicators.
Indonesia,IDN,1,1,0,0,3,Swing state based on indicators. Top 15 in 8/12 indicators.
Jamaica,JAM,1,1,0,0,3,Swing state based on indicators. Top 15 in 7/12 indicators
Malaysia,MYS,1,1,0,0,3,Swing state based on indicators. Top 15 in 7/12 indicators.
Namibia,NAM,1,1,0,0,3,Swing state based on indicators. Top 15 in 7/12 indicators.
Panama,PAN,1,1,0,0,3,Swing state based on indicators Top 15 in 9/12 indicators.
Singapore,SGP,1,1,0,0,3,Swing state based on indicators. Top 15 in 6/12 indicators.
South Africa,ZAF,1,1,0,0,3,Swing state based on indicators. Top 15 in 10/12 indicators.
Ghana,GHA,1,1,0,1,2,FOC member & For the ITRs
Tunisia,TUN,1,1,0,1,2,FOC member & For the ITRs
Mexico,MEX,0,1,0,1,1,Swing state based on OECD membership & For the ITRs
South Korea,KOR,no vote,1,0,1,1,Swing state based on OECD membership & For the ITRs
Turkey,TUR,no vote,1,0,1,1,Swing state based on OECD membership & For the ITRs
Algeria,DZA,1,0,1,0,0,Not a Swing State
Azerbaijan,AZE,1,0,1,0,0,Not a Swing State
Cameroon,CMR,no vote,0,1,0,0,Not a Swing State
China,CHN,1,0,1,0,0,Not a Swing State
Cuba,CUB,1,0,1,0,0,Not a Swing State
Egypt,EGY,1,0,1,0,0,Not a Swing State
Iran,IRN,1,0,1,0,0,Not a Swing State
Iraq,IRR,1,0,1,0,0,Not a Swing State
Jordan,JOR,1,0,1,0,0,Not a Swing State
Kazakhstan,KAZ,1,0,1,0,0,Not a Swing State
Kuwait,KWT,1,0,1,0,0,Not a Swing State
Nigeria,NGA,1,0,1,0,0,Not a Swing State
North Korea,PRK,no vote,0,1,0,0,Not a Swing State
Oman,OMN,1,0,1,0,0,Not a Swing State
Qatar,QAT,1,0,1,0,0,Not a Swing State
Russia,RUS,1,0,1,0,0,Not a Swing State
Saudi Arabia,SAU,1,0,1,0,0,Not a Swing State
Syria,SYR,no vote,0,1,0,0,Not a Swing State
Tajikistan,TJK,no vote,0,1,0,0,Not a Swing State
Turkmenistan,TKM,no vote,0,1,0,0,Not a Swing State
United Arab Emirates,ARE,1,0,1,0,0,Not a Swing State
Uzbekistan,UZB,no vote,0,1,0,0,Not a Swing State
Vietnam,VNM,1,0,1,0,0,Not a Swing State
Zimbabwe,ZWE_,1,0,1,0,0,Not a Swing State
